"airport","name","iata","city","province","icao","lat","long"
"http://dbpedia.org/resource/Minangkabau_International_Airport","Minangkabau International Airport","PDG","Padang","West Sumatra","WIEE",-0.7866666913032532,100.2805557250977
"http://dbpedia.org/resource/Mopah_International_Airport","Mopah International Airport","MKQ","Merauke","South Papua","WAKK",-8.520277976989746,140.4183349609375
"http://dbpedia.org/resource/Muara_Bungo_Airport","Muara Bungo Airport","BUU","Muara Bungo",,"WIJB",-1.542500019073486,102.1827774047852
"http://dbpedia.org/resource/Mutiara_SIS_Al-Jufrie_Airport","Mutiara SIS Al-Jufrie Airport","PLW","Palu","Central Sulawesi","WAFF",-0.9186111092567444,119.9097213745117
"http://dbpedia.org/resource/Nabire_Airport","Nabire Airport",,,,,,
"http://dbpedia.org/resource/Naha_Airport_(Indonesia)","Naha Airport (Indonesia)","NAH","Sangihe Islands",,"WAMH",3.683055639266968,125.5277786254883
"http://dbpedia.org/resource/Namlea_Airport","Namlea Airport",,,,,,
"http://dbpedia.org/resource/Namrole_Airport","Namrole Airport","NRE",,,"WAPG",-3.855833292007446,126.6997222900391
"http://dbpedia.org/resource/Ngurah_Rai_International_Airport","Ngurah Rai International Airport","DPS","Denpasar","Lesser Sunda Islands","WADD",-8.748055458068848,115.1675033569336
"http://dbpedia.org/resource/Notohadinegoro_Airport","Notohadinegoro Airport","JBB","Jember",,"WARE",-8.241110801696777,113.6938858032227
"http://dbpedia.org/resource/Nunukan_Airport","Nunukan Airport","NNX","North Kalimantan",,"WAQA",4.136666774749756,117.6669464111328
"http://dbpedia.org/resource/Oesman_Sadik_Airport","Oesman Sadik Airport","LAH","Labuha","Maluku Islands","WAEL",-0.6373444199562073,127.5007476806641
"http://dbpedia.org/resource/Oksibil_Airport","Oksibil Airport","OKL","Oksibil, Pegunungan Bintang",,"WAJO",-4.907777786254883,140.6294403076172
"http://dbpedia.org/resource/PT_Badak_Bontang_Airport","PT Badak Bontang Airport","BXT","Bontang","East Kalimantan","WALC",0.1216611117124557,117.4765701293945
"http://dbpedia.org/resource/Pangsuma_Airport","Pangsuma Airport","PSU",,,"WIOP",0.8355555534362793,112.9369430541992
"http://dbpedia.org/resource/Pattimura_Airport","Pattimura Airport",,,,,,
"http://dbpedia.org/resource/Penggung_Airport","Penggung Airport","CBN",,,"WICD",-6.756144523620605,108.5396728515625
"http://dbpedia.org/resource/Pinang_Kampai_Airport","Pinang Kampai Airport","DUM","Dumai","Riau","WIBD",1.609194397926331,101.4335556030273
"http://dbpedia.org/resource/Pondok_Cabe_Airport","Pondok Cabe Airport","PCB","South Tangerang","Banten","WIHP",-6.336958408355713,106.7649993896484
"http://dbpedia.org/resource/Prince_M._Bunyamin_Air_Force_Base","Prince M. Bunyamin Air Force Base","AKQ",,,"WIAG",-4.616666793823242,105.2333297729492
"http://dbpedia.org/resource/Pusako_Anak_Nagari_Airport","Pusako Anak Nagari Airport",,"Simpang Ampek",,,0.07655555754899979,99.78472137451172
"http://dbpedia.org/resource/Radin_Inten_II_International_Airport","Radin Inten II International Airport","TKG","Bandar Lampung","Lampung","WILL",-5.242499828338623,105.1788864135742
"http://dbpedia.org/resource/Raja_Haji_Abdullah_Airport","Raja Haji Abdullah Airport","TJB","Tanjung Balai Karimun","Riau Islands","WIDT",1.05222225189209,103.3925018310547
"http://dbpedia.org/resource/Raja_Haji_Fisabilillah_International_Airport","Raja Haji Fisabilillah International Airport","TNJ",,,"WIDN",0.9225000143051147,104.5322189331055
"http://dbpedia.org/resource/Ranai_Airport","Ranai Airport",,,,,,
"http://dbpedia.org/resource/Rendani_Airport","Rendani Airport","MKW","Manokwari","West Papua (province)","WAUU",-0.8916666507720947,134.0491638183594
"http://dbpedia.org/resource/Robert_Atty_Bessing_Airport","Robert Atty Bessing Airport","LNU",,,"WAQM",3.575277805328369,116.6197204589844
"http://dbpedia.org/resource/Rokot_Airport","Rokot Airport","RKI","Sipura",,"WIBR",-2.100100040435791,99.70439910888672
"http://dbpedia.org/resource/Sampit_Airport","Sampit Airport",,,,,,
"http://dbpedia.org/resource/Sangia_Nibandera_Airport","Sangia Nibandera Airport","KXB","Kolaka Regency","Southeast Sulawesi","WAWP",-4.341217041015625,121.5239791870117
"http://dbpedia.org/resource/Sei_Pakning_Airport","Sei Pakning Airport","SEQ","Sungai Pakning",,"WIBS",1.369722247123718,102.1399993896484
"http://dbpedia.org/resource/Selaparang_Airport","Selaparang Airport","AMI","Mataram (city)",,"WADA",-8.560555458068848,116.0941696166992
"http://dbpedia.org/resource/Sibisa_Airport","Sibisa Airport","SIW","Parapat","Simalungun Regency","WIMP",2.600277662277222,98.96444702148438
"http://dbpedia.org/resource/Silampari_Airport","Silampari Airport","LLJ","South Sumatra","Palembang","WIPB",-3.279999971389771,102.9172210693359
"http://dbpedia.org/resource/Sisingamangaraja_XII_International_Airport","Sisingamangaraja XII International Airport","DTB","Siborong-Borong",,"WIMN",2.259722232818604,98.99527740478516
"http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Soekarno–Hatta International Airport","CGK","Jakarta metropolitan area","Banten","WIII",-6.125555515289307,106.6558303833008
"http://dbpedia.org/resource/Soewondo_Air_Force_Base","Soewondo Air Force Base","MES","Medan","North Sumatra","WIMK",3.558055639266968,98.67166900634766
"http://dbpedia.org/resource/Soroako_Airport","Soroako Airport","SQR","Soroako","South Sulawesi","WAWS",-2.531202793121338,121.3576354980469
"http://dbpedia.org/resource/Sultan_Hasanuddin_International_Airport","Sultan Hasanuddin International Airport","UPG","Makassar","Sulawesi","WAAA",-5.061666488647461,119.5541687011719
"http://dbpedia.org/resource/Sultan_Iskandar_Muda_International_Airport","Sultan Iskandar Muda International Airport","BTJ","Banda Aceh","Aceh","WITT",5.523333549499512,95.42028045654297
"http://dbpedia.org/resource/Sultan_Mahmud_Badaruddin_II_International_Airport","Sultan Mahmud Badaruddin II International Airport","PLM","Palembang","South Sumatra","WIPP",-2.900277853012085,104.6999969482422
