AIRPORT,TIME,FLIGHT,AIRLINE,AIRCRAFT,STATUS,TYPE,TO/FROM
SUB,5:05:00 PM,QG418,Citilink ,A20N (PK-GTE) ,Departed 5:34 PM,Departure,PNK
SUB,5:15:00 PM,JT838,Lion Air ,B738 (PK-LPL) ,Departed 7:01 PM,Departure,PNK
SUB,5:25:00 PM,ID7579,Batik Air ,A320 (PK-LUQ) ,Departed 6:32 PM,Departure,CGK
SUB,5:30:00 PM,IU718,Super Air Jet ,A320 (PK-SJH) ,Departed 6:43 PM,Departure,LOP
SUB,5:30:00 PM,QG711,Citilink ,A320 (PK-GLI) ,Departed 7:35 PM,Departure,CGK
SUB,5:40:00 PM,QG179,Citilink Garuda Indonesia ,A320 (PK-GQT) ,Departed 6:54 PM,Departure,HLP
SUB,5:45:00 PM,QG9436,Citilink ,A320 (PK-GQR) ,Departed 6:28 PM,Departure,BPN
SUB,5:55:00 PM,JT800,Lion Air (Bukalapak Livery) ,B739 (PK-LHH) ,Departed 6:05 PM,Departure,UPG
SUB,6:15:00 PM,ID6307,Batik Air ,A320 (PK-LUQ) ,Estimated dep. 6:34 PM,Departure,CGK
SUB,6:30:00 PM,GA313,Garuda Indonesia ,B738 (PK-GNH) ,Departed 6:50 PM,Departure,CGK
SUB,6:30:00 PM,IP207,Pelita Air ,A320 (PK-PWH) ,Departed 6:34 PM,Departure,CGK
SUB,6:35:00 PM,JT366,Lion Air ,B739 (PK-LGP) ,Departed 7:36 PM,Departure,BPN
SUB,6:40:00 PM,GA325,Garuda Indonesia ,B738 (PK-GUA) ,Departed 6:46 PM,Departure,CGK
SUB,6:40:00 PM,SQ929,Singapore Airlines ,B38M (9V-MBB) ,Departed 6:58 PM,Departure,SIN
SUB,7:00:00 PM,QG173,Citilink ,A320 (PK-GQQ) ,Departed 7:08 PM,Departure,HLP
SUB,7:05:00 PM,QG494,Citilink ,A320 (PK-GLM) ,Departed 8:17 PM,Departure,BDJ
SUB,7:15:00 PM,ID6575,Batik Air ,32A ,Unknown,Departure,CGK
SUB,7:35:00 PM,QG662,Citilink ,A320 (PK-GQP) ,Departed 8:53 PM,Departure,DPS
SUB,7:45:00 PM,QG719,Citilink ,A320 (PK-GQH) ,Departed 8:32 PM,Departure,CGK
SUB,7:50:00 PM,IP203,Pelita Air ,A320 (PK-PWD) ,Departed 8:03 PM,Departure,CGK
SUB,7:55:00 PM,GA319,Garuda Indonesia ,B738 (PK-GFV) ,Departed 8:28 PM,Departure,CGK
SUB,7:55:00 PM,ID7518,Batik Air ,A320 (PK-LUO) ,Estimated dep. 7:55 PM,Departure,HLP
SUB,7:55:00 PM,QG352,Citilink ,A320 (PK-GQJ) ,Departed 8:25 PM,Departure,UPG
SUB,8:00:00 PM,JT880,Lion Air ,B739 (PK-LSL) ,Departed 8:08 PM,Departure,UPG
SUB,8:25:00 PM,QG354,Citilink (Retro Livery) ,A320 (PK-GQI) ,Estimated dep. 8:37 PM,Departure,UPG
SUB,9:20:00 PM,QG9721,Citilink ,A320 (PK-GLU) ,Estimated dep. 10:15 PM,Departure,CGK
SWQ,10:15:00 AM,IW1860,Wings Air ,AT75 (PK-WFR) ,Landed 10:25 AM,Arrival,LOP
SWQ,10:35:00 AM,IW1861,Wings Air ,AT75 (PK-WFR) ,Departed 11:09 AM,Departure,LOP
SXK,9:05:00 AM,IW1514,Wings Air ,AT76 (PK-WHV) ,Unknown,Arrival,AMQ
SXK,9:35:00 AM,IW1515,Wings Air ,AT76 (PK-WHV) ,Departed 9:54 AM,Departure,AMQ
TIM,6:05:00 AM,JT984,Lion Air ,B739 (PK-LGJ) ,Landed 5:43 AM,Arrival,UPG
TIM,7:00:00 AM,SJ588,Sriwijaya Air ,738,Unknown,Arrival,UPG
TIM,7:40:00 AM,IW1601,Wings Air ,AT76 (PK-WHL) ,Landed 7:44 AM,Arrival,NBX
TIM,8:35:00 AM,ID6260,Batik Air ,B738 (PK-LZS) ,Landed 8:39 AM,Arrival,UPG
TIM,8:35:00 AM,ID6268,Batik Air ,32A ,Unknown,Arrival,UPG
TIM,9:05:00 AM,GA635,Garuda Indonesia ,B738 (PK-GNC) ,Landed 8:46 AM,Arrival,DJJ
TIM,10:15:00 AM,IW1609,Wings Air ,AT7 ,Canceled,Arrival,NBX
TIM,10:15:00 AM,JT985,Lion Air ,B739 (PK-LGJ) ,Landed 10:32 AM,Arrival,DJJ
TIM,11:00:00 AM,IL7384,Trigana Air ,73F ,Unknown,Arrival,WMX
TIM,11:05:00 AM,SJ589,Sriwijaya Air ,738,Unknown,Arrival,DJJ
TIM,12:45:00 PM,IW1605,Wings Air ,AT76 (PK-WHL) ,Landed 12:18 PM,Arrival,EWE
TIM,1:15:00 PM,ID6187,Batik Air ,B738 (PK-LZS) ,Landed 1:28 PM,Arrival,DJJ
TIM,1:15:00 PM,ID6261,Batik Air ,32A ,Unknown,Arrival,DJJ
TIM,1:40:00 PM,IL7386,Trigana Air ,73F ,Unknown,Arrival,WMX
TIM,6:55:00 AM,JT984,Lion Air ,B739 (PK-LGJ) ,Departed 7:02 AM,Departure,DJJ
TIM,7:45:00 AM,SJ588,Sriwijaya Air ,738,Unknown,Departure,DJJ
TIM,8:00:00 AM,IW1608,Wings Air ,AT7 ,Canceled,Departure,NBX
TIM,9:20:00 AM,IL7383,Trigana Air ,73F ,Unknown,Departure,WMX
TIM,9:25:00 AM,ID6186,Batik Air ,B738 (PK-LZS) ,Departed 9:48 AM,Departure,DJJ
TIM,9:25:00 AM,ID6260,Batik Air ,32A ,Unknown,Departure,DJJ
TIM,10:40:00 AM,IW1604,Wings Air ,AT76 (PK-WHL) ,Departed 10:44 AM,Departure,EWE
TIM,10:55:00 AM,JT985,Lion Air ,B739 (PK-LGJ) ,Departed 11:28 AM,Departure,UPG
TIM,11:30:00 AM,IL7385,Trigana Air ,73F ,Unknown,Departure,WMX
TIM,11:50:00 AM,SJ589,Sriwijaya Air ,738,Unknown,Departure,UPG
TIM,12:50:00 PM,GA634,Garuda Indonesia ,B738 (PK-GNC) ,Departed 1:06 PM,Departure,DJJ
TIM,2:00:00 PM,ID6261,Batik Air ,B738 (PK-LZS) ,Departed 2:22 PM,Departure,UPG
TIM,2:00:00 PM,IW1600,Wings Air ,AT7 ,Unknown,Departure,NBX
TJQ,6:35:00 AM,JT120,Lion Air ,738,Canceled,Arrival,CGK
TJQ,7:15:00 AM,IN56,Nam Air ,735,Unknown,Arrival,CGK
TJQ,7:15:00 AM,SJ54,Sriwijaya Air ,B735 (PK-CLE) ,Landed 6:47 AM,Arrival,CGK
TJQ,9:50:00 AM,JT142,Lion Air ,B738 (PK-LKK) ,Landed 9:42 AM,Arrival,PGK
TJQ,10:00:00 AM,JT128,Lion Air ,B738 (PK-LKW) ,Landed 10:33 AM,Arrival,CGK
TJQ,12:45:00 PM,SJ55,Sriwijaya Air ,B735 (PK-CLE) ,Landed 12:29 PM,Arrival,PGK
TJQ,12:45:00 PM,IN57,Nam Air ,735,Unknown,Arrival,PGK
TJQ,1:25:00 PM,JT126,Lion Air ,B738 (PK-LKW) ,Landed 2:20 PM,Arrival,CGK
TJQ,1:30:00 PM,QG976,Citilink ,A320 (PK-GLP) ,Landed 2:09 PM,Arrival,CGK
TJQ,2:35:00 PM,JT136,Lion Air ,738,Unknown,Arrival,CGK
TJQ,7:15:00 AM,JT121,Lion Air ,738,Canceled,Departure,CGK
TJQ,7:55:00 AM,IN56,Nam Air ,735,Unknown,Departure,PGK
TJQ,7:55:00 AM,SJ54,Sriwijaya Air ,B735 (PK-CLE) ,Departed 7:49 AM,Departure,PGK
TJQ,9:40:00 AM,JT120,Lion Air ,738,Unknown,Departure,PGK
TJQ,10:30:00 AM,JT143,Lion Air ,B738 (PK-LKK) ,Departed 12:00 PM,Departure,PGK
TJQ,10:40:00 AM,JT129,Lion Air ,B738 (PK-LKW) ,Departed 11:29 AM,Departure,CGK
TJQ,1:25:00 PM,SJ55,Sriwijaya Air ,B735 (PK-CLE) ,Departed 1:21 PM,Departure,CGK
TJQ,1:25:00 PM,IN57,Nam Air ,735,Unknown,Departure,CGK
TJQ,2:00:00 PM,QG977,Citilink ,A320 (PK-GLP) ,Departed 2:55 PM,Departure,CGK
TJQ,2:05:00 PM,JT127,Lion Air ,B738 (PK-LKW) ,Departed 3:11 PM,Departure,CGK
TJQ,3:20:00 PM,JT137,Lion Air ,738,Unknown,Departure,CGK
TKG,7:15:00 AM,JT176,Lion Air ,739,Unknown,Arrival,CGK
TKG,8:30:00 AM,IU800,Super Air Jet ,A320 (PK-SAQ) ,Landed 9:49 AM,Arrival,CGK
TKG,9:40:00 AM,QG994,Citilink ,A320 (PK-GLP) ,Landed 10:54 AM,Arrival,CGK
TKG,10:25:00 AM,JT170,Lion Air ,739,Canceled,Arrival,CGK
TKG,12:00:00 PM,QZ182,AirAsia ,A320 (PK-AZG) ,Landed 11:58 AM,Arrival,DPS
TKG,12:45:00 PM,GA7404,Garuda Indonesia ,B738 (PK-GMM) ,Landed 1:23 PM,Arrival,CGK
TKG,1:35:00 PM,JT240,Lion Air ,B739 (PK-LGU) ,Landed 1:39 PM,Arrival,CGK
TKG,1:40:00 PM,QZ180,AirAsia ,A320 (PK-AZP) ,Landed 1:30 PM,Arrival,CGK
TKG,3:20:00 PM,JT122,Lion Air ,B739 (PK-LSS) ,Landed 4:05 PM,Arrival,CGK
TKG,6:40:00 PM,GA72,Garuda Indonesia ,B738 (PK-GFS) ,Landed 8:05 PM,Arrival,CGK
TKG,6:55:00 PM,JT242,Lion Air ,B739 (PK-LHO) ,Landed 6:50 PM,Arrival,CGK
TKG,7:00:00 AM,JT241,Lion Air ,B738 (PK-LKW) ,Departed 7:08 AM,Departure,CGK
TKG,7:10:00 AM,GA73,Garuda Indonesia ,B738 (PK-GMA) ,Departed 7:14 AM,Departure,CGK
TKG,8:00:00 AM,JT175,Lion Air ,739,Unknown,Departure,CGK
TKG,9:15:00 AM,IU801,Super Air Jet ,A320 (PK-SAQ) ,Departed 10:44 AM,Departure,CGK
TKG,10:50:00 AM,QG995,Citilink ,A320 (PK-GLP) ,Departed 11:40 AM,Departure,CGK
TKG,11:10:00 AM,JT171,Lion Air ,739,Canceled,Departure,CGK
TKG,12:25:00 PM,QZ183,AirAsia ,A320 (PK-AZG) ,Departed 12:44 PM,Departure,DPS
TKG,1:30:00 PM,GA7504,Garuda Indonesia ,B738 (PK-GMM) ,Departed 2:29 PM,Departure,CGK
TKG,2:10:00 PM,QZ181,AirAsia ,A320 (PK-AZP) ,Departed 2:17 PM,Departure,CGK
TKG,2:15:00 PM,JT243,Lion Air ,B739 (PK-LGU) ,Departed 2:25 PM,Departure,CGK
TKG,4:00:00 PM,JT123,Lion Air ,B739 (PK-LSS) ,Departed 5:08 PM,Departure,CGK
